var,ipsos_varname,type,tablename,new_name,changed
hhcompremove_52,,,,,
hhcompremove_53,,,,,
hhcompremove_54,,,,,
hhcompremove_55,,,,,
hhcompremove_62,,,,,
hhcompremove_63,,,,,
hhcompremove_64,,,,,
hhcompremove_65,,,,,
hhcompremove_72,,,,,
hhcompremove_73,,,,,
hhcompremove_74,,,,,
hhcompremove_75,,,,,
hhcompremove_82,,,,,
hhcompremove_83,,,,,
hhcompremove_84,,,,,
hhcompremove_85,,,,,
hhcompremove_92,,,,,
hhcompremove_93,,,,,
hhcompremove_94,,,,,
hhcompremove_95,,,,,
insq26a,,,,,
last1,q48_loop_0_last1,table_variable,table_q48,hhm_avoid_work_date1,
last2,q48_loop_0_last2,table_variable,table_q48,hhm_avoid_work_date2,
last3,q48_loop_0_last3,table_variable,table_q48,hhm_avoid_work_date3,
last4,q48_loop_0_last4,table_variable,table_q48,hhm_avoid_work_date4,
last5,q48_loop_0_last5,table_variable,table_q48,hhm_avoid_work_date5,
last6,q48_loop_0_last6,table_variable,table_q48,hhm_avoid_work_date6,
last7,q48_loop_0_last7,table_variable,table_q48,hhm_avoid_work_date7,
main_intro_screen,main_intro_screen,single_variable,,main_intro_screen,
nl01edu,nl01edu,single_variable,,part_education,
nl01inc,nl01inc,single_variable,,part_income,
nl01occhi,nl01occhi,single_variable,,higher_earner_occupation,
nl01occr,nl01occr,single_variable,,part_occupation,
nl01sg,nl01sg,single_variable,,part_social_group1,
nlsg_version,nlsg_version,single_variable,,nlsg_version,
no01inc,no01inc,,,part_income,
no01occr,,,,part_occupation,
panel,panel,single_variable,,panel,
privacypolicy_insert,privacypolicy_insert,single_variable,,privacypolicy_insert,
q15,q15,single_variable,,part_pregnant,
q20,q20,single_variable,,hh_size,
q20_i,,,,,
q20a,q20a,single_variable,,hh_type,
q20b_1,,,,hh_type_partner,
q20b_10,,,,hh_type_non_relative,
q20b_11,,,,hh_type_alone,
q20b_2,,,,hh_type_child_under_18,
q20b_3,,,,hh_type_child_18_plus,
q20b_4,,,,hh_type_grandchild_under_18,
q20b_5,,,,hh_type_grandchild_18_plus,
q20b_6,,,,hh_type_older_relatives,
q20b_7,,,,hh_type_siblings_under_18,
q20b_8,,,,hh_type_siblings_18_plus,
q20b_9,,,,hh_type_other_relative,
q20b_i,,,,?,
q21,,,,cnt_nickname,
q23,q23_loop_10_q23,table_variable,table_q23,hhm_age_group,
q24,q23_loop_10_q24,table_variable,table_q23,hhm_gender,
q25,q23_loop_10_q25,table_variable,table_q23,hhm_employstatus,
q26,q23_loop_10_q26,table_variable,table_q23,hhm_student,
q26_filter_1,q23_loop_10_q26_filter_1,table_variable,table_q23,hhm_student_nursery,
q26_filter_2,q23_loop_10_q26_filter_2,table_variable,table_q23,hhm_student_school,
q26_filter_3,q23_loop_10_q26_filter_3,table_variable,table_q23,hhm_student_college,
q26_filter_4,q23_loop_10_q26_filter_4,table_variable,table_q23,hhm_student_university,
q27,q23_loop_10_q27,table_variable,table_q23,hhm_pregnant,
q28,q28_10_scale,single_variable,,hhm_high_risk,
q28a,,,,part_high_risk_v2,
q28b,,,,part_med_risk_v2,
q29_1,q29_0_scale_1,table_variable,table_q29,hhm_symp_fever,
q29_10,q29_0_scale_10,table_variable,table_q29,hhm_symp_no_answer,
q29_11,,,,part_symp_diarrhoea,
q29_12,,,,part_symp_none,
q29_13,,,,part_symp_dont_know,
q29_14,,,,part_symp_prefer_not_to_answer,
q29_2,q29_0_scale_2,table_variable,table_q29,hhm_symp_cough,
q29_3,q29_0_scale_3,table_variable,table_q29,hhm_symp_sob,
q29_4,q29_0_scale_4,table_variable,table_q29,hhm_symp_fatigue,
q29_5,q29_0_scale_5,table_variable,table_q29,hhm_symp_bodyaches,
q29_6,q29_0_scale_6,table_variable,table_q29,hhm_symp_headache,
q29_7,q29_0_scale_7,table_variable,table_q29,hhm_symp_loss_senses,
q29_8,q29_0_scale_8,table_variable,table_q29,hhm_symp_sore_throat,
q29_9,q29_0_scale_9,table_variable,table_q29,hhm_symp_congestion,
q3,q3,single_variable,,part_employstatus,
q30_1,q30_0_scale_1,table_variable,table_q30,hhm_seek_gov_info,
q30_10,q30_0_scale_10,table_variable,table_q30,hhm_reaction_no_answer,
q30_2,q30_0_scale_2,table_variable,table_q30,hhm_phone_gp,
q30_3,q30_0_scale_3,table_variable,table_q30,hhm_visit_gp,
q30_4,q30_0_scale_4,table_variable,table_q30,hhm_visit_urgent,
q30_5,q30_0_scale_5,table_variable,table_q30,hhm_visit_ae,
q30_6,q30_0_scale_6,table_variable,table_q30,hhm_cont_adm_hosp,
q30_7,q30_0_scale_7,table_variable,table_q30,hhm_visit_testing,
q30_8,q30_0_scale_8,table_variable,table_q30,hhm_reaction_dk,
q30_9,q30_0_scale_9,table_variable,table_q30,hhm_reaction_none,
q31_1_scale1,q31_loop_0_q31_1_scale1,table_variable,table_q31,hhm_seek_gov_info_date,
q31_1_scale1_codes,q31_loop_0_q31_1_scale1_codes,table_variable,table_q31,hhm_seek_gov_info_other,
q31_2_scale1,q31_loop_0_q31_2_scale1,table_variable,table_q31,hhm_phone_gp_date,
q31_2_scale1_codes,q31_loop_0_q31_2_scale1_codes,table_variable,table_q31,hhm_phone_gp_other,
q31_3_scale1,q31_loop_0_q31_3_scale1,table_variable,table_q31,hhm_visit_gp_date,
q31_3_scale1_codes,q31_loop_0_q31_3_scale1_codes,table_variable,table_q31,hhm_visit_gp_other,
q31_4_scale1,q31_loop_0_q31_4_scale1,table_variable,table_q31,hhm_visit_urgent_date,
q31_4_scale1_codes,q31_loop_0_q31_4_scale1_codes,table_variable,table_q31,hhm_visit_other,
q31_5_scale1,q31_loop_0_q31_5_scale1,table_variable,table_q31,hhm_visit_ae_date,
q31_5_scale1_codes,q31_loop_0_q31_5_scale1_codes,table_variable,table_q31,hhm_visit_ae_other,
q31_6_scale1,q31_loop_0_q31_6_scale1,table_variable,table_q31,hhm_visit_testing_date,
q31_6_scale1_codes,q31_loop_0_q31_6_scale1_codes,table_variable,table_q31,hhm_visit_testing_other,
q31_7_scale1,q31_loop_0_q31_7_scale1,table_variable,table_q31,hhm_cont_adm_hosp_date,
q31_7_scale1_codes,q31_loop_0_q31_7_scale1_codes,table_variable,table_q31,hhm_cont_adm_hosp_other,
q32,q32,single_variable,,hhm_covid_test_recent,
q32a,,,,part_covid_test_past,
q32a_i,,,,?,
q32b,,,,part_antibody_test,
q33,q33_10_scale,single_variable,,hhm_covid_test_result,
q34,q34_0_scale,single_variable,,hhm_covid_contact,
q35_1_scale,q35_1_scale,single_variable,,part_att_serious,
q35_2_scale,q35_2_scale,single_variable,,part_att_likely,
q35_3_scale,q35_3_scale,single_variable,,part_att_spread,
q36_10_scale,q36_10_scale,single_variable,,part_att_eff_ban_int_travel,
q36_11_scale,q36_11_scale,single_variable,,part_att_eff_ban_dom_travel,
q36_1_scale,q36_1_scale,single_variable,,part_att_eff_reduce_contacts,
q36_2_scale,q36_2_scale,single_variable,,part_att_eff_stay_home7_mild,
q36_3_scale,q36_3_scale,single_variable,,part_att_eff_stay_home7_severe,
q36_4_scale,q36_4_scale,single_variable,,part_att_eff_crowd_places,
q36_5_scale,q36_5_scale,single_variable,,part_att_eff_stay_home14_mild_not_you,
q36_6_scale,q36_6_scale,single_variable,,part_att_eff_stay_home14_severe_not_you,
q36_7_scale,q36_7_scale,single_variable,,part_att_eff_school_closures,
q36_8_scale,q36_8_scale,single_variable,,part_att_eff_leisure_closures,
q36_9_scale,q36_9_scale,single_variable,,part_att_eff_ban_public_transport,
q37_1_scale,q37_1_scale,single_variable,,part_att_can_reduce_contacts,
q37_2_scale,q37_2_scale,single_variable,,part_att_can_stay_home7_mild,
q37_3_scale,q37_3_scale,single_variable,,part_att_can_stay_home7_severe,
q37_4_scale,q37_4_scale,single_variable,,part_att_can_crowd_places,
q37_5_scale,q37_5_scale,single_variable,,part_att_can_stay_home14_mild_not_you,
q37_6_scale,q37_6_scale,single_variable,,part_att_can_stay_home14_severe_not_you,
q37_7_scale,q37_7_scale,single_variable,,part_att_can_not_use_public_transport,
q38_1_scale,q38_1_scale,single_variable,,part_att_expect_work,
q38_2_scale,q38_2_scale,single_variable,,part_att_cant_work_paid,
q38_3_scale,q38_3_scale,single_variable,,part_att_isolate_has_child_care,
q38_4_scale,q38_4_scale,single_variable,,part_att_isolate_problems,
q38_5_scale,q38_5_scale,single_variable,,part_att_isolate_enough_food,
q38_filter_1,q38_filter_1,single_variable,,part_att_expect_work_yn,
q38_filter_2,q38_filter_2,single_variable,,part_att_cant_work_paid_yn,
q38_filter_3,q38_filter_3,single_variable,,part_att_isolate_has_child_care_yn,
q38_filter_4,q38_filter_4,single_variable,,part_att_isolate_problems_yn,
q38_filter_5,q38_filter_5,single_variable,,part_att_isolate_enough_food_yn,
q39,,,,part_isolation_quarantine,
q39_1_scale,q39_loop_0_q39_1_scale,table_variable,table_q39,hhm_quarantine,
q39_2_scale,q39_loop_0_q39_2_scale,table_variable,table_q39,hhm_isolate,
q39_3_scale,q39_loop_0_q39_3_scale,table_variable,table_q39,hhm_limit_work,
q39_4_scale,q39_loop_0_q39_4_scale,table_variable,table_q39,hhm_limit_school,
q3b,,,,part_employed_attends_education,
q3c,,,,part_student_employed,
q3d,,,,part_furloughed,
q40_1_scale,q40_loop_0_q40_1_scale,table_variable,table_q40,hhm_work_closed,
q40_2_scale,q40_loop_0_q40_2_scale,table_variable,table_q40,hhm_educaton_closed,
q41_1_scale,q41_loop_0_q41_1_scale,table_variable,table_q41,hhm_quarantine_one_day,
q41_2_scale,q41_loop_0_q41_2_scale,table_variable,table_q41,hhm_isolate_atleast_one_day,
q41_3_scale,q41_loop_0_q41_3_scale,table_variable,table_q41,hhm_limit_work_atleast_day,
q41_4_scale,q41_loop_0_q41_4_scale,table_variable,table_q41,hhm_limit_school_atleast_day,
q41a,,,,part_workplace_status,
q41b,,,,part_attend_work_week,
q41c,,,,part_attend_work_yesterdy,
q42_date,q42_loop_0_q42_date,table_variable,table_q42,hhm_quarantine_start_date,
q42_date_codes,q42_loop_0_q42_date_codes,table_variable,table_q42,hhm_quarantine_start_other,
q42a,,,,part_educationplace_status,
q42b,,,,part_attend_education_week,
q42c,,,,part_attend_education_yesterday,
q43_date,q43_loop_0_q43_date,table_variable,table_q43,hhm_quarantine_end_date,
q43_date_codes,q43_loop_0_q43_date_codes,table_variable,table_q43,hhm_quarantine_end_other,
q44_date,q44_loop_0_q44_date,table_variable,table_q44,hhm_isolation_start_date,
q44_date_codes,q44_loop_0_q44_date_codes,table_variable,table_q44,hhm_isolation_start_other,
q45_date,q45_loop_0_q45_date,table_variable,table_q45,hhm_isolation_end_date,
q45_date_codes,q45_loop_0_q45_date_codes,table_variable,table_q45,hhm_isolation_end_other,
q46_date,q46_loop_0_q46_date,table_variable,table_q46,hhm_work_closure_start_date,
q46_date_codes,q46_loop_0_q46_date_codes,table_variable,table_q46,hhm_work_closure_start_other,
q48_1,q48_loop_0_q48_1,table_variable,table_q48,hhm_avoid_work_school_7day_iso,
q48_2,q48_loop_0_q48_2,table_variable,table_q48,hhm_avoid_work_school_14day_quar,
q48_3,q48_loop_0_q48_3,table_variable,table_q48,hhm_avoid_work_school_illnes,
q48_4,q48_loop_0_q48_4,table_variable,table_q48,hhm_avoid_work_school_caring_covid_confirmed,
q48_5,q48_loop_0_q48_5,table_variable,table_q48,hhm_avoid_work_school_caring_coivd_not_confirmed,
q48_6,q48_loop_0_q48_6,table_variable,table_q48,hhm_avoid_work_school_child_home,
q48_7,q48_loop_0_q48_7,table_variable,table_q48,hhm_avoid_work_school_other,
q48_98,q48_loop_0_q48_98,table_variable,table_q48,hhm_avoid_work_school_other_reason1,
q48_99,q48_loop_0_q48_99,table_variable,table_q48,hhm_avoid_work_school_other_reason2,
q48a_1,q48a_loop_0_q48a_1,table_variable,table_q48a,hhm_avoid_work_reason_self_isolation,
q48a_2,q48a_loop_0_q48a_2,table_variable,table_q48a,hhm_avoid_work_reason_hh_isolation,
q48a_3,q48a_loop_0_q48a_3,table_variable,table_q48a,hhm_avoid_work_reason_self_quarantine,
q48a_4,q48a_loop_0_q48a_4,table_variable,table_q48a,hhm_avoid_work_reason_hh_quarantine,
q48a_5,q48a_loop_0_q48a_5,table_variable,table_q48a,hhm_avoid_work_reason_other_illness,
q48a_6,q48a_loop_0_q48a_6,table_variable,table_q48a,hhm_avoid_work_reason_covidcarer_outside,
q48a_7,q48a_loop_0_q48a_7,table_variable,table_q48a,hhm_avoid_work_reason_othercarer_outside,
q48a_8,q48a_loop_0_q48a_8,table_variable,table_q48a,hhm_avoid_work_reason_school_closure,
q48a_9,q48a_loop_0_q48a_9,table_variable,table_q48a,hhm_avoid_work_reason_other,
q49_1,q49_loop_0_q49_1,table_variable,table_q49,hhm_neg_no_wfh,
q49_10,q49_loop_0_q49_10,table_variable,table_q49,hhm_neg_dont_know,
q49_11,q49_loop_0_q49_11,table_variable,table_q49,hhm_neg_prefer_not_answer,
q49_2,q49_loop_0_q49_2,table_variable,table_q49,hhm_neg_no_carer_leave,
q49_3,q49_loop_0_q49_3,table_variable,table_q49,hhm_neg_annual_leave,
q49_4,q49_loop_0_q49_4,table_variable,table_q49,hhm_neg_no_paid_by_employer,
q49_5,q49_loop_0_q49_5,table_variable,table_q49,hhm_neg_no_paid_by_government,
q49_6,q49_loop_0_q49_6,table_variable,table_q49,hhm_neg_yes_partial_pay_employer,
q49_7,q49_loop_0_q49_7,table_variable,table_q49,hhm_neg_yes_partial_pay_government,
q49_8,q49_loop_0_q49_8,table_variable,table_q49,hhm_neg_yes_lost_all_income,
q49_9,q49_loop_0_q49_9,table_variable,table_q49,hhm_neg_yes_other,
q49_91,q49_loop_0_q49_91,table_variable,table_q49,hhm_neg_yes_other_reason,
q50_1,q50_loop_10_q50_1,table_variable,table_q50,hhm_close_childcare_parent_unemployed,
q50_10,q50_loop_10_q50_10,table_variable,table_q50,hhm_close_childcare_sitter_unpaid,
q50_11,q50_loop_10_q50_11,table_variable,table_q50,hhm_close_childcare_neighbour_friend,
q50_12,q50_loop_10_q50_12,table_variable,table_q50,hhm_close_childcare_not_required,
q50_13,q50_loop_10_q50_13,table_variable,table_q50,hhm_close_childcare_other,
q50_131,q50_loop_10_q50_131,table_variable,table_q50,hhm_close_childcare_other_reason,
q50_14,q50_loop_10_q50_14,table_variable,table_q50,hhm_close_childcare_school,
q50_2,q50_loop_10_q50_2,table_variable,table_q50,hhm_close_childcare_parent_wfh,
q50_3,q50_loop_10_q50_3,table_variable,table_q50,hhm_close_childcare_parent_part_time_work,
q50_4,q50_loop_10_q50_4,table_variable,table_q50,hhm_close_childcare_parent_annual_leave,
q50_5,q50_loop_10_q50_5,table_variable,table_q50,hhm_close_childcare_parent_carer_leave,
q50_6,q50_loop_10_q50_6,table_variable,table_q50,hhm_close_childcare_parent_unpaid_leave,
q50_7,q50_loop_10_q50_7,table_variable,table_q50,hhm_close_childcare_sibling,
q50_8,q50_loop_10_q50_8,table_variable,table_q50,hhm_close_childcare_grandparent,
q50_9,q50_loop_10_q50_9,table_variable,table_q50,hhm_close_childcare_sitter_paid,
q51_1,q51_loop_10_q51_1,table_variable,table_q51,hhm_not_attend_childcare_parent_unemployed,
q51_10,q51_loop_10_q51_10,table_variable,table_q51,hhm_not_attend_childcare_sitter_unpaid,
q51_11,q51_loop_10_q51_11,table_variable,table_q51,hhm_not_attend_childcare_neighbour_friend,
q51_12,q51_loop_10_q51_12,table_variable,table_q51,hhm_not_attend_childcare_not_required,
q51_13,q51_loop_10_q51_13,table_variable,table_q51,hhm_not_attend_childcare_other,
q51_14,q51_loop_10_q51_14,table_variable,table_q51,hhm_not_attend_childcare_school_care,
q51_2,q51_loop_10_q51_2,table_variable,table_q51,hhm_not_attend_childcare_parent_wfh,
q51_3,q51_loop_10_q51_3,table_variable,table_q51,hhm_not_attend_childcare_parent_part_time_work,
q51_4,q51_loop_10_q51_4,table_variable,table_q51,hhm_not_attend_childcare_parent_annual_leave,
q51_5,q51_loop_10_q51_5,table_variable,table_q51,hhm_not_attend_childcare_parent_carer_leave,
q51_6,q51_loop_10_q51_6,table_variable,table_q51,hhm_not_attend_childcare_parent_unpaid_leave,
q51_7,q51_loop_10_q51_7,table_variable,table_q51,hhm_not_attend_childcare_sibling,
q51_8,q51_loop_10_q51_8,table_variable,table_q51,hhm_not_attend_childcare_grandparent,
q51_9,q51_loop_10_q51_9,table_variable,table_q51,hhm_not_attend_childcare_sitter_paid,
q52_11_scale,q52_11_scale,single_variable,,,
q52_10_scale,q52_10_scale,single_variable,,,
q52_1_scale,q52_1_scale,single_variable,,,
q52_2_scale,q52_2_scale,single_variable,,,
q52_3_scale,q52_3_scale,single_variable,,,
q52_4_scale,q52_4_scale,single_variable,,,
q52_5_scale,q52_5_scale,single_variable,,,
q52_6_scale,q52_6_scale,single_variable,,,
q52_7_scale,q52_7_scale,single_variable,,,
q52_8_scale,q52_8_scale,single_variable,,,
q52_9_scale,q52_9_scale,single_variable,,,
q52s_1,,,,part_visit_another_home,
q52s_10,,,,part_visit_salon,
q52s_11,,,,part_visit_none,
q52s_2,,,,part_visit_religious_event,
q52s_3,,,,part_visit_public_transport,
q52s_4,,,,part_visit_essential_shop,
q52s_5,,,,part_visit_non_essential_shop,
q52s_6,,,,part_visit_restaurant,
q52s_7,,,,part_visit_sport_venue,
q52s_8,,,,part_visit_outdoors,
q52s_9,,,,part_visit_healthcare,
q53_loop_10_q53,q53_loop_10_q53,single_variable,,part_visit_outdoor_event_not_attend_times,
q53_loop_10_q53_codes,q53_loop_10_q53_codes,single_variable,,part_visit_outdoor_event_not_attend_times_dk,
q53_loop_10_q53_help1_insert,q53_loop_10_q53_help1_insert,single_variable,,part_visit_outdoor_event_not_attend_times_reason_1,
q53_loop_10_q53_help2_insert,q53_loop_10_q53_help2_insert,single_variable,,part_visit_outdoor_event_not_attend_times_reason_2,
q53_loop_1_q53,q53_loop_1_q53,single_variable,,part_visit_pub_not_attend_times,
q53_loop_1_q53_codes,q53_loop_1_q53_codes,single_variable,,part_visit_pub_not_attend_times_dk,
q53_loop_2_q53,q53_loop_2_q53,single_variable,,part_visit_restaurant_not_attend_times,
q53_loop_2_q53_codes,q53_loop_2_q53_codes,single_variable,,part_visit_restaurant_not_attend_times_dk,
q53_loop_3_q53,q53_loop_3_q53,single_variable,,part_visit_cinema_not_attend_times,
q53_loop_3_q53_codes,q53_loop_3_q53_codes,single_variable,,part_visit_cinema_not_attend_times_dk,
q53_loop_4_q53,q53_loop_4_q53,single_variable,,part_visit_concert_not_attend_times,
q53_loop_4_q53_codes,q53_loop_4_q53_codes,single_variable,,part_visit_concert_not_attend_times_dk,
q53_loop_5_q53,q53_loop_5_q53,single_variable,,part_visit_supermarket_not_attend_times,
q53_loop_5_q53_codes,q53_loop_5_q53_codes,single_variable,,part_visit_supermarket_not_attend_times_dk,
q53_loop_6_q53,q53_loop_6_q53,single_variable,,part_visit_sportevent_attendee_not_attend_times,
q53_loop_6_q53_codes,q53_loop_6_q53_codes,single_variable,,part_visit_sportevent_attendee_not_attend_times_dk,
q53_loop_7_q53,q53_loop_7_q53,single_variable,,part_visit_sportevent_participant_not_attend_times,
q53_loop_7_q53_codes,q53_loop_7_q53_codes,single_variable,,part_visit_sportevent_participant_not_attend_times_dk,
q53_loop_8_q53,q53_loop_8_q53,single_variable,,part_visit_religous_event_not_attend_times,
q53_loop_8_q53_codes,q53_loop_8_q53_codes,single_variable,,part_visit_religous_event_not_attend_times_dk,
q53_loop_9_q53,q53_loop_9_q53,single_variable,,part_visit_indoor_event_not_attend_times,
q53_loop_9_q53_codes,q53_loop_9_q53_codes,single_variable,,part_visit_indoor_event_not_attend_times_reason_1_dk,
q53_loop_9_q53_help1_insert,q53_loop_9_q53_help1_insert,single_variable,,part_visit_indoor_event_not_attend_times_reason_1,
q53_loop_9_q53_help2_insert,q53_loop_9_q53_help2_insert,single_variable,,part_visit_indoor_event_not_attend_times_reason_2,
q53a,q53a,single_variable,,child_hhm_select_raw,
q54,q54,single_variable,,part_face_mask,
q55_1_scale,q55_1_scale,single_variable,,part_face_mask_hours,
q55_2_scale,q55_2_scale,single_variable,,part_face_mask_mins,
q56_1,q56_1,single_variable,,part_face_mask_everywhere,
q56_10,,,,part_face_mask_outside,
q56_11,,,,part_face_mask_other_house,
q56_2,q56_2,single_variable,,part_face_mask_walk_street,
q56_3,q56_3,single_variable,,part_face_mask_cycling,
q56_4,q56_4,single_variable,,part_face_mask_public_transport,
q56_5,q56_5,single_variable,,part_face_mask_supermarkets,
q56_6,q56_6,single_variable,,part_face_mask_leisure,
q56_7,q56_7,single_variable,,part_face_mask_other,changed
q56_8,q56_8,single_variable,,part_face_mask_home,changed
q56_9,q56_9,single_variable,,part_face_mask_work_education,changed
q56_new_1,q56_new_1,single_variable,,part_face_mask_everywhere_old,
q56_new_2,q56_new_2,single_variable,,part_face_mask_walk_street_old,
q56_new_3,q56_new_3,single_variable,,part_face_mask_cycling_old,
q56_new_4,q56_new_4,single_variable,,part_face_mask_public_transport _old,
q56_new_5,q56_new_5,single_variable,,part_face_mask_supermarkets_old,
q56_new_6,q56_new_6,single_variable,,part_face_mask_leisure_old,
q56_new_7,q56_new_7,single_variable,,part_face_mask_other_old,
q56_new_8,q56_new_8,,,part_face_mask_old_delete1,
q56_new_9,q56_new_9,,,part_face_mask_old_delete2,
q56_other1,q56_other1,single_variable,,part_face_mask_other_text,
q56_other1_new,q56_other1_new,single_variable,,part_face_mask_other_text_new,
q57,q57,single_variable,,part_handwash3h,
q58,q58,single_variable,,part_handsanit3h,
q59_1,q59_1,single_variable,,part_public_transport_no,
q59_2,q59_2,single_variable,,part_public_transport_train,
q59_3,q59_3,single_variable,,part_public_transport_bus,
q59_4,q59_4,single_variable,,part_public_transport_taxi_uber,
q59_5,q59_5,single_variable,,part_public_transport_plane,
q59_6,,,,part_public_transport_boat,
q60_loop_2_q60_1_scale,q60_loop_2_q60_1_scale,single_variable,,part_public_transport_train_hours,
q60_loop_2_q60_2_scale,q60_loop_2_q60_2_scale,single_variable,,part_public_transport_train_mins,
q60_loop_3_q60_1_scale,q60_loop_3_q60_1_scale,single_variable,,part_public_transport_bus_hours,
q60_loop_3_q60_2_scale,q60_loop_3_q60_2_scale,single_variable,,part_public_transport_bus_mins,
q60_loop_4_q60_1_scale,q60_loop_4_q60_1_scale,single_variable,,part_public_transport_taxi_uber_hours,
q60_loop_4_q60_2_scale,q60_loop_4_q60_2_scale,single_variable,,part_public_transport_taxi_uber_mins,
q60_loop_5_q60_1_scale,q60_loop_5_q60_1_scale,single_variable,,part_public_transport_plane_hours,
q60_loop_5_q60_2_scale,q60_loop_5_q60_2_scale,single_variable,,part_public_transport_plane_mins,
q61a,q61a,single_variable,,part_school_yesterday,
q61b,q61b,single_variable,,part_school_class_size,
q62,q62_10_scale,single_variable,,hhm_contact_yn,
q63,q63_10_scale,scale_variable,,cnt_nickname_masked,
q63_exclusiva,,,,part_no_contacts,
q66,q66_loop_100_q66,table_variable,table_q66,cnt_age,
q67,q66_loop_100_q67,table_variable,table_q66,cnt_gender,
q68,q66_loop_100_q68,table_variable,table_q66,cnt_type,
q69,q66_loop_100_q69,table_variable,table_q66,cnt_frequency,
q70,q66_loop_100_q70,table_variable,table_q66,phys,
q71_1,q66_loop_100_q71_1,table_variable,table_q66,cnt_home,
q71_10,q66_loop_100_q71_10,table_variable,table_q66,cnt_sport,
q71_11,q66_loop_100_q71_11,table_variable,table_q66,cnt_outside_other,
q71_12,q66_loop_100_q71_12,table_variable,table_q66,cnt_otheryn,
q71_13,q66_loop_100_q71_12,table_variable,table_q66,cnt_public_market,
q71_14,q66_loop_100_q71_14,table_variable,table_q66,cnt_health_facility,
q71_15,q66_loop_100_q71_15,table_variable,table_q66,cnt_salon,
q71_2,q66_loop_100_q71_2,table_variable,table_q66,cnt_other_house,
q71_3,q66_loop_100_q71_3,table_variable,table_q66,cnt_work,
q71_4,q66_loop_100_q71_4,table_variable,table_q66,cnt_worship,
q71_5,q66_loop_100_q71_5,table_variable,table_q66,cnt_public_transport,
q71_6,q66_loop_100_q71_6,table_variable,table_q66,cnt_school,
q71_7,q66_loop_100_q71_7,table_variable,table_q66,cnt_supermarket,
q71_8,q66_loop_100_q71_8,table_variable,table_q66,cnt_shop,
q71_9,q66_loop_100_q71_9,table_variable,table_q66,cnt_leisure,
q71_other1,q66_loop_100_q71_other1,table_variable,table_q66,cnt_other_text,
q72,,,,cnt_total_time,
q72_1_scale,q66_loop_100_q72_1_scale,table_variable,table_q66,cnt_hours,
q72_2_scale,q66_loop_100_q72_2_scale,table_variable,table_q66,cnt_mins,
q73_1,q66_loop_100_q73_1,table_variable,table_q66,cnt_inside,
q73_2,q66_loop_100_q73_2,table_variable,table_q66,cnt_outside,
q74,q74,,,part_reported_all_contacts,
q75_1_scale1,q75_1_scale1,,,multiple_contacts_child_work,
q75_1_scale2,q75_1_scale2,,,multiple_contacts_child_school,
q75_1_scale3,q75_1_scale3,,,multiple_contacts_child_other,
q75_2_scale1,q75_2_scale1,,,multiple_contacts_adult_work,
q75_2_scale2,q75_2_scale2,,,multiple_contacts_adult_school,
q75_2_scale3,q75_2_scale3,,,multiple_contacts_adult_other,
q75_3_scale1,q75_3_scale1,,,multiple_contacts_older_adult_work,
q75_3_scale2,q75_3_scale2,,,multiple_contacts_older_adult_school,
q75_3_scale3,q75_3_scale3,,,multiple_contacts_older_adult_other,
